img5.png, 0, 0, 1526, 1096, 1552, 1126
img5.png, 0, 1, 1538, 1082, 1570, 1106
img5.png, 0, 2, 1630, 1202, 1654, 1224
img5.png, 0, 3, 1648, 1186, 1678, 1212
img5.png, 2, 0, 526, 1256, 544, 1278
img5.png, 2, 1, 558, 1256, 580, 1276
img5.png, 2, 2, 546, 1368, 562, 1394
img5.png, 2, 3, 576, 1368, 594, 1382
img5.png, 3, 0, 1182, 774, 1198, 790
img5.png, 3, 1, 1324, 770, 1350, 782
img5.png, 3, 2, 1182, 804, 1204, 818
img5.png, 3, 3, 1328, 792, 1348, 806
img5.png, 4, 0, 1762, 324, 1790, 342
img5.png, 4, 1, 1912, 314, 1934, 328
img5.png, 4, 2, 1770, 348, 1788, 366
img5.png, 4, 3, 1916, 344, 1936, 356
img5.png, 5, 0, 224, 334, 246, 358
img5.png, 5, 1, 422, 346, 452, 366
img5.png, 5, 2, 228, 360, 246, 386
img5.png, 5, 3, 428, 372, 446, 392
img5.png, 7, 0, 976, 14, 998, 26
img5.png, 7, 1, 1172, 4, 1200, 24
img5.png, 7, 2, 982, 42, 1002, 56
img5.png, 7, 3, 1180, 34, 1202, 54
img30.png, 0, 0, 1294, 676, 1318, 698
img30.png, 0, 1, 1316, 662, 1336, 682
img30.png, 0, 2, 1382, 766, 1400, 790
img30.png, 0, 3, 1398, 750, 1428, 776
img30.png, 1, 0, 892, 650, 914, 670
img30.png, 1, 1, 924, 646, 940, 670
img30.png, 1, 2, 900, 1032, 916, 1056
img30.png, 1, 3, 924, 1028, 944, 1054
img30.png, 2, 0, 376, 760, 396, 778
img30.png, 2, 1, 400, 760, 428, 776
img30.png, 2, 2, 394, 846, 416, 872
img30.png, 2, 3, 424, 848, 446, 862
img30.png, 3, 0, 990, 354, 1022, 372
img30.png, 3, 1, 1132, 354, 1162, 370
img30.png, 3, 2, 996, 384, 1024, 398
img30.png, 3, 3, 1142, 380, 1160, 400
img40.png, 3, 0, 2120, 996, 2146, 1020
img40.png, 3, 1, 2318, 974, 2348, 996
img40.png, 3, 2, 2128, 1036, 2156, 1052
img40.png, 3, 3, 2328, 1006, 2360, 1032
img40.png, 5, 0, 1152, 666, 1172, 682
