1.616092,	1.970500,	2.061122,	0.815949,	0.988876,	0.860918,	-0.376567,	0.000000
1.546345,	1.744796,	2.811644,	1.516070,	3.077968,	1.748033,	-0.568935,	0.000000
1.122095,	0.776557,	1.344139,	0.668184,	0.618131,	0.528473,	-0.137486,	0.000000
0.985102,	0.503006,	0.807795,	0.296906,	0.134240,	0.184599,	-0.055876,	0.000000
1.003649,	0.557589,	0.911588,	0.367203,	0.199801,	0.228935,	-0.072217,	0.000000
0.966459,	0.543641,	0.463074,	0.049915,	-0.006135,	-0.036159,	0.004466,	0.000000
1.311879,	1.238837,	1.114196,	0.303285,	0.134813,	0.174329,	-0.113613,	0.000000
1.348226,	1.238391,	2.264896,	1.257815,	2.092544,	1.263024,	-0.358299,	0.000000
1.306176,	1.218877,	0.883953,	0.134477,	0.002666,	-0.020138,	-0.046288,	0.000000
1.409418,	1.344014,	2.699701,	1.524932,	3.052747,	1.603810,	-0.504146,	0.000000
1.468764,	1.548615,	1.946659,	0.728987,	0.794323,	0.653284,	-0.350977,	0.000000
1.540334,	1.794715,	2.171542,	1.014774,	1.454312,	1.106224,	-0.392678,	0.000000
1.332754,	1.309882,	0.840377,	0.148390,	0.017968,	0.022069,	-0.049225,	0.000000
0.944749,	0.451234,	0.564569,	0.109768,	0.014454,	0.032249,	-0.023190,	0.000000
