0.871306,	0.436749,	0.465789,	0.117276,	0.019087,	0.014106,	-0.019672,	0.000000
0.754247,	0.262751,	0.300330,	0.040667,	-0.001162,	-0.014323,	-0.004342,	0.000000
0.754205,	0.271280,	0.302209,	0.049593,	0.001202,	-0.009679,	-0.005951,	0.000000
0.850329,	0.411330,	0.403336,	0.081992,	0.007114,	-0.004293,	-0.013104,	0.000000
0.919003,	0.560565,	0.397004,	0.110252,	0.018132,	0.017559,	-0.014258,	0.000000
0.767818,	0.265663,	0.389992,	0.112308,	0.019196,	0.022395,	-0.013563,	0.000000
1.088148,	0.835052,	0.687815,	0.200764,	0.059972,	0.066483,	-0.044375,	0.000000
0.950860,	0.559390,	0.552187,	0.154892,	0.035789,	0.042197,	-0.027770,	0.000000
0.931849,	0.508322,	0.463759,	0.051146,	-0.007596,	-0.036296,	-0.002085,	0.000000
0.791832,	0.320464,	0.439686,	0.162960,	0.040017,	0.054344,	-0.017362,	0.000000
1.175212,	1.008401,	0.707911,	0.127859,	0.012259,	-0.020280,	-0.036461,	0.000000
1.166873,	0.932263,	0.906798,	0.227137,	0.070758,	0.045388,	-0.074962,	0.000000
0.878065,	0.435619,	0.394054,	0.044588,	-0.004806,	-0.027625,	-0.003439,	0.000000
