0.265178,	0.032055,	0.000160,	0.000047,	0.000000,	0.000005,	0.000000,	0.000000
0.195940,	0.000230,	0.004152,	0.000085,	-0.000000,	-0.000001,	-0.000000,	0.000000
0.461077,	0.153160,	0.012374,	0.006337,	0.000056,	0.001900,	-0.000006,	0.000000
0.426576,	0.154712,	0.000086,	0.000019,	0.000000,	0.000001,	-0.000000,	0.000000
0.233276,	0.026457,	0.001126,	0.000154,	0.000000,	0.000014,	-0.000000,	0.000000
0.260767,	0.039882,	0.000910,	0.000342,	0.000000,	0.000063,	-0.000000,	0.000000
0.270401,	0.037257,	0.000049,	0.000011,	-0.000000,	-0.000002,	-0.000000,	0.000000
0.555013,	0.258864,	0.034921,	0.021073,	0.000569,	0.010642,	0.000052,	0.000000
0.342331,	0.090409,	0.000172,	0.000073,	0.000000,	0.000022,	-0.000000,	0.000000
0.267869,	0.012016,	0.008747,	0.002165,	0.000009,	0.000232,	-0.000004,	0.000000
0.434204,	0.160211,	0.000090,	0.000014,	0.000000,	-0.000002,	0.000000,	0.000000
0.470507,	0.192664,	0.000558,	0.000084,	0.000000,	-0.000012,	0.000000,	0.000000
0.535807,	0.240882,	0.006256,	0.006941,	0.000046,	0.003285,	0.000000,	0.000000
0.351328,	0.095591,	0.000418,	0.000228,	0.000000,	0.000068,	0.000000,	0.000000
1.086097,	1.143423,	0.008984,	0.006476,	0.000049,	0.006449,	0.000003,	0.000000
2.477483,	6.094138,	0.011029,	0.008613,	0.000084,	0.019371,	-0.000003,	0.000000
0.236901,	0.028601,	0.000005,	0.000001,	0.000000,	0.000000,	0.000000,	0.000000
0.224893,	0.005432,	0.007743,	0.000395,	0.000001,	0.000023,	0.000000,	0.000000
0.200270,	0.011845,	0.000913,	0.000081,	0.000000,	0.000002,	-0.000000,	0.000000
0.347725,	0.089499,	0.006324,	0.003557,	0.000017,	0.001042,	-0.000001,	0.000000
1.137769,	1.264651,	0.041246,	0.038554,	0.001537,	0.043293,	0.000002,	0.000000
1.878030,	3.489064,	0.151985,	0.146009,	0.021751,	0.272725,	0.000011,	0.000000
1.190251,	1.387886,	0.015694,	0.014914,	0.000228,	0.017569,	0.000000,	0.000000
0.239047,	0.029523,	0.000008,	0.000001,	-0.000000,	-0.000000,	-0.000000,	0.000000
0.280881,	0.039718,	0.004938,	0.001324,	0.000003,	0.000203,	-0.000001,	0.000000
0.306265,	0.031879,	0.016165,	0.001556,	0.000002,	0.000008,	0.000007,	0.000000
0.287941,	0.010023,	0.000154,	0.000461,	-0.000000,	0.000043,	0.000000,	0.000000
0.297308,	0.046765,	0.000893,	0.000199,	0.000000,	0.000003,	0.000000,	0.000000
0.425492,	0.125807,	0.005317,	0.003446,	0.000015,	0.001203,	0.000001,	0.000000
0.233042,	0.023599,	0.001152,	0.000060,	-0.000000,	-0.000009,	-0.000000,	0.000000,	
